student_id,year,branch,interests,skill_level,availability
S001,1,ETC,"ai,ml,design",beginner,weekend
S002,1,ME,"robotics,cad,iot",beginner,weekday
S003,2,CSE,"webdev,ai,hackathon",intermediate,weekend
S004,1,EE,"iot,embedded,robotics",beginner,weekend
S005,3,ETC,"nlp,ml,publicspeaking",intermediate,weekday
S006,2,EE,"electronics,pcb,iot",intermediate,weekend
S007,1,CSE,"python,ml,datascience",beginner,weekday
S008,3,ME,"cad,design,manufacturing",intermediate,weekday
S009,2,ETC,"signal-processing,ml,ai",intermediate,weekend
S010,1,CE,"webdev,html,css",beginner,weekday
S011,4,CSE,"ai,nlp,deep-learning",advanced,weekend
S012,2,EE,"embedded,arduino,robotics",intermediate,weekend
S013,1,ETC,"publicspeaking,debate,communication",beginner,weekend
S014,3,ME,"robotics,automation,iot",intermediate,weekday
S015,2,CSE,"cybersecurity,networking,linux",intermediate,weekend
S016,1,EE,"python,electronics,basics",beginner,weekday
S017,4,ETC,"ml,nlp,research",advanced,weekend
S018,2,CE,"datascience,python,visualization",intermediate,weekday
S019,3,CSE,"opensource,git,github",intermediate,weekend
S020,1,ME,"innovation,startup,ideas",beginner,weekend